"initial_alias","converted_alias","name","description","namespace"
"GO:0016491","ENSMUSG00000004344","Gpx5","glutathione peroxidase 5 [Source:MGI Symbol;Acc:MGI:104886]","GO"
"GO:0016491","ENSMUSG00000004610","Etfb","electron transferring flavoprotein, beta polypeptide [Source:MGI Symbol;Acc:MGI:106098]","GO"
"GO:0016491","ENSMUSG00000004637","Wwox","WW domain-containing oxidoreductase [Source:MGI Symbol;Acc:MGI:1931237]","GO"
"GO:0016491","ENSMUSG00000004651","Tyr","tyrosinase [Source:MGI Symbol;Acc:MGI:98880]","GO"
"GO:0016491","ENSMUSG00000004846","Plod3","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3 [Source:MGI Symbol;Acc:MGI:1347008]","GO"
"GO:0016491","ENSMUSG00000004880","Lbr","lamin B receptor [Source:MGI Symbol;Acc:MGI:2138281]","GO"
"GO:0016491","ENSMUSG00000005161","Prdx2","peroxiredoxin 2 [Source:MGI Symbol;Acc:MGI:109486]","GO"
"GO:0016491","ENSMUSG00000005354","Txn2","thioredoxin 2 [Source:MGI Symbol;Acc:MGI:1929468]","GO"
"GO:0016491","ENSMUSG00000005413","Hmox1","heme oxygenase 1 [Source:MGI Symbol;Acc:MGI:96163]","GO"
"GO:0016491","ENSMUSG00000005510","Ndufs3","NADH:ubiquinone oxidoreductase core subunit S3 [Source:MGI Symbol;Acc:MGI:1915599]","GO"
"GO:0016491","ENSMUSG00000005514","Por","P450 (cytochrome) oxidoreductase [Source:MGI Symbol;Acc:MGI:97744]","GO"
"GO:0016491","ENSMUSG00000005547","Cyp2a5","cytochrome P450, family 2, subfamily a, polypeptide 5 [Source:MGI Symbol;Acc:MGI:88597]","GO"
"GO:0016491","ENSMUSG00000005667","Mthfd2","methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase [Source:MGI Symbol;Acc:MGI:1338850]","GO"
"GO:0016491","ENSMUSG00000005803","Sqor","sulfide quinone oxidoreductase [Source:MGI Symbol;Acc:MGI:1929899]","GO"
"GO:0016491","ENSMUSG00000005994","Tyrp1","tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]","GO"
"GO:0016491","ENSMUSG00000006143","Upk3bl","uroplakin 3B-like [Source:MGI Symbol;Acc:MGI:1916915]","GO"
"GO:0016491","ENSMUSG00000006471","Ndor1","NADPH dependent diflavin oxidoreductase 1 [Source:MGI Symbol;Acc:MGI:1926047]","GO"
"GO:0016491","ENSMUSG00000006519","Cyba","cytochrome b-245, alpha polypeptide [Source:MGI Symbol;Acc:MGI:1316658]","GO"
"GO:0016491","ENSMUSG00000006675","P4htm","prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum) [Source:MGI Symbol;Acc:MGI:1921693]","GO"
"GO:0016491","ENSMUSG00000006724","Cyp27b1","cytochrome P450, family 27, subfamily b, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1098274]","GO"
"GO:0016491","ENSMUSG00000006764","Tph2","tryptophan hydroxylase 2 [Source:MGI Symbol;Acc:MGI:2651811]","GO"
"GO:0016491","ENSMUSG00000006818","Sod2","superoxide dismutase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:98352]","GO"
"GO:0016491","ENSMUSG00000007603","Dus3l","dihydrouridine synthase 3-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2147092]","GO"
"GO:0016491","ENSMUSG00000007682","Dio2","deiodinase, iodothyronine, type II [Source:MGI Symbol;Acc:MGI:1338833]","GO"
"GO:0016491","ENSMUSG00000007833","Aldh16a1","aldehyde dehydrogenase 16 family, member A1 [Source:MGI Symbol;Acc:MGI:1916998]","GO"
"GO:0016491","ENSMUSG00000008435","Rdh13","retinol dehydrogenase 13 (all-trans and 9-cis) [Source:MGI Symbol;Acc:MGI:1918732]","GO"
"GO:0016491","ENSMUSG00000008540","Mgst1","microsomal glutathione S-transferase 1 [Source:MGI Symbol;Acc:MGI:1913850]","GO"
"GO:0016491","ENSMUSG00000009350","Mpo","myeloperoxidase [Source:MGI Symbol;Acc:MGI:97137]","GO"
"GO:0016491","ENSMUSG00000009356","Lpo","lactoperoxidase [Source:MGI Symbol;Acc:MGI:1923363]","GO"
"GO:0016491","ENSMUSG00000009614","Sardh","sarcosine dehydrogenase [Source:MGI Symbol;Acc:MGI:2183102]","GO"
"GO:0016491","ENSMUSG00000009863","Sdhb","succinate dehydrogenase complex, subunit B, iron sulfur (Ip) [Source:MGI Symbol;Acc:MGI:1914930]","GO"
"GO:0016491","ENSMUSG00000009876","Cox4i2","cytochrome c oxidase subunit 4I2 [Source:MGI Symbol;Acc:MGI:2135755]","GO"
"GO:0016491","ENSMUSG00000009905","Kdsr","3-ketodihydrosphingosine reductase [Source:MGI Symbol;Acc:MGI:1918000]","GO"
"GO:0016491","ENSMUSG00000010025","Aldh3a2","aldehyde dehydrogenase family 3, subfamily A2 [Source:MGI Symbol;Acc:MGI:1353452]","GO"
"GO:0016491","ENSMUSG00000010663","Fads1","fatty acid desaturase 1 [Source:MGI Symbol;Acc:MGI:1923517]","GO"
"GO:0016491","ENSMUSG00000010914","Pdhx","pyruvate dehydrogenase complex, component X [Source:MGI Symbol;Acc:MGI:1351627]","GO"
"GO:0016491","ENSMUSG00000011382","Dhdh","dihydrodiol dehydrogenase (dimeric) [Source:MGI Symbol;Acc:MGI:1919005]","GO"
"GO:0016491","ENSMUSG00000012428","Steap4","STEAP family member 4 [Source:MGI Symbol;Acc:MGI:1923560]","GO"
"GO:0016491","ENSMUSG00000013150","Gfod2","glucose-fructose oxidoreductase domain containing 2 [Source:MGI Symbol;Acc:MGI:1917825]","GO"
"GO:0016491","ENSMUSG00000013584","Aldh1a2","aldehyde dehydrogenase family 1, subfamily A2 [Source:MGI Symbol;Acc:MGI:107928]","GO"
"GO:0016491","ENSMUSG00000013593","Ndufs2","NADH:ubiquinone oxidoreductase core subunit S2 [Source:MGI Symbol;Acc:MGI:2385112]","GO"
"GO:0016491","ENSMUSG00000014294","Ndufa2","NADH:ubiquinone oxidoreductase subunit A2 [Source:MGI Symbol;Acc:MGI:1343103]","GO"
"GO:0016491","ENSMUSG00000014313","Cox6c","cytochrome c oxidase subunit 6C [Source:MGI Symbol;Acc:MGI:104614]","GO"
"GO:0016491","ENSMUSG00000015134","Aldh1a3","aldehyde dehydrogenase family 1, subfamily A3 [Source:MGI Symbol;Acc:MGI:1861722]","GO"
"GO:0016491","ENSMUSG00000015224","Cyp2j9","cytochrome P450, family 2, subfamily j, polypeptide 9 [Source:MGI Symbol;Acc:MGI:1921769]","GO"
"GO:0016491","ENSMUSG00000015340","Cybb","cytochrome b-245, beta polypeptide [Source:MGI Symbol;Acc:MGI:88574]","GO"
"GO:0016491","ENSMUSG00000015652","Steap1","six transmembrane epithelial antigen of the prostate 1 [Source:MGI Symbol;Acc:MGI:1917608]","GO"
"GO:0016491","ENSMUSG00000015653","Steap2","six transmembrane epithelial antigen of prostate 2 [Source:MGI Symbol;Acc:MGI:1921301]","GO"
"GO:0016491","ENSMUSG00000015790","Surf1","surfeit gene 1 [Source:MGI Symbol;Acc:MGI:98443]","GO"
"GO:0016491","ENSMUSG00000015806","Qdpr","quinoid dihydropteridine reductase [Source:MGI Symbol;Acc:MGI:97836]","GO"
"GO:0016491","ENSMUSG00000015950","Ncf1","neutrophil cytosolic factor 1 [Source:MGI Symbol;Acc:MGI:97283]","GO"
"GO:0016491","ENSMUSG00000015970","Chdh","choline dehydrogenase [Source:MGI Symbol;Acc:MGI:1860776]","GO"
"GO:0016491","ENSMUSG00000016194","Hsd11b1","hydroxysteroid 11-beta dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:103562]","GO"
"GO:0016491","ENSMUSG00000016552","Foxred2","FAD-dependent oxidoreductase domain containing 2 [Source:MGI Symbol;Acc:MGI:106315]","GO"
"GO:0016491","ENSMUSG00000016756","Cmah","cytidine monophospho-N-acetylneuraminic acid hydroxylase [Source:MGI Symbol;Acc:MGI:103227]","GO"
"GO:0016491","ENSMUSG00000017453","Pipox","pipecolic acid oxidase [Source:MGI Symbol;Acc:MGI:1197006]","GO"
"GO:0016491","ENSMUSG00000017778","Cox7c","cytochrome c oxidase subunit 7C [Source:MGI Symbol;Acc:MGI:103226]","GO"
"GO:0016491","ENSMUSG00000017969","Ptgis","prostaglandin I2 (prostacyclin) synthase [Source:MGI Symbol;Acc:MGI:1097156]","GO"
"GO:0016491","ENSMUSG00000018042","Cyb5r3","cytochrome b5 reductase 3 [Source:MGI Symbol;Acc:MGI:94893]","GO"
"GO:0016491","ENSMUSG00000018196","Glrx2","glutaredoxin 2 (thioltransferase) [Source:MGI Symbol;Acc:MGI:1916617]","GO"
"GO:0016491","ENSMUSG00000018326","Ywhab","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Source:MGI Symbol;Acc:MGI:1891917]","GO"
"GO:0016491","ENSMUSG00000018339","Gpx3","glutathione peroxidase 3 [Source:MGI Symbol;Acc:MGI:105102]","GO"
"GO:0016491","ENSMUSG00000018476","Kdm6b","KDM1 lysine (K)-specific demethylase 6B [Source:MGI Symbol;Acc:MGI:2448492]","GO"
"GO:0016491","ENSMUSG00000018574","Acadvl","acyl-Coenzyme A dehydrogenase, very long chain [Source:MGI Symbol;Acc:MGI:895149]","GO"
"GO:0016491","ENSMUSG00000018659","Pnpo","pyridoxine 5'-phosphate oxidase [Source:MGI Symbol;Acc:MGI:2144151]","GO"
"GO:0016491","ENSMUSG00000018861","Fdxr","ferredoxin reductase [Source:MGI Symbol;Acc:MGI:104724]","GO"
"GO:0016491","ENSMUSG00000018906","P4ha2","procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide [Source:MGI Symbol;Acc:MGI:894286]","GO"
"GO:0016491","ENSMUSG00000018907","Alox12e","arachidonate lipoxygenase, epidermal [Source:MGI Symbol;Acc:MGI:1274790]","GO"
"GO:0016491","ENSMUSG00000018924","Alox15","arachidonate 15-lipoxygenase [Source:MGI Symbol;Acc:MGI:87997]","GO"
"GO:0016491","ENSMUSG00000019055","Plod1","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 [Source:MGI Symbol;Acc:MGI:99907]","GO"
"GO:0016491","ENSMUSG00000019102","Aldh3a1","aldehyde dehydrogenase family 3, subfamily A1 [Source:MGI Symbol;Acc:MGI:1353451]","GO"
"GO:0016491","ENSMUSG00000019179","Mdh2","malate dehydrogenase 2, NAD (mitochondrial) [Source:MGI Symbol;Acc:MGI:97050]","GO"
"GO:0016491","ENSMUSG00000019301","Hsd17b1","hydroxysteroid (17-beta) dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:105077]","GO"
"GO:0016491","ENSMUSG00000019326","Aoc3","amine oxidase, copper containing 3 [Source:MGI Symbol;Acc:MGI:1306797]","GO"
"GO:0016491","ENSMUSG00000019590","Cyb561","cytochrome b-561 [Source:MGI Symbol;Acc:MGI:103253]","GO"
"GO:0016491","ENSMUSG00000019762","Iyd","iodotyrosine deiodinase [Source:MGI Symbol;Acc:MGI:1917587]","GO"
"GO:0016491","ENSMUSG00000019823","Mical1","microtubule associated monooxygenase, calponin and LIM domain containing 1 [Source:MGI Symbol;Acc:MGI:2385847]","GO"
"GO:0016491","ENSMUSG00000019864","Rtn4ip1","reticulon 4 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2178759]","GO"
"GO:0016491","ENSMUSG00000019916","P4ha1","procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide [Source:MGI Symbol;Acc:MGI:97463]","GO"
"GO:0016491","ENSMUSG00000020000","Moxd1","monooxygenase, DBH-like 1 [Source:MGI Symbol;Acc:MGI:1921582]","GO"
"GO:0016491","ENSMUSG00000020022","Ndufa12","NADH:ubiquinone oxidoreductase subunit A12 [Source:MGI Symbol;Acc:MGI:1913664]","GO"
"GO:0016491","ENSMUSG00000020051","Pah","phenylalanine hydroxylase [Source:MGI Symbol;Acc:MGI:97473]","GO"
"GO:0016491","ENSMUSG00000020085","Aifm2","apoptosis-inducing factor, mitochondrion-associated 2 [Source:MGI Symbol;Acc:MGI:1918611]","GO"
"GO:0016491","ENSMUSG00000020098","Pcbd1","pterin 4 alpha carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 1 [Source:MGI Symbol;Acc:MGI:94873]","GO"
"GO:0016491","ENSMUSG00000020153","Ndufs7","NADH:ubiquinone oxidoreductase core subunit S7 [Source:MGI Symbol;Acc:MGI:1922656]","GO"
"GO:0016491","ENSMUSG00000020163","Uqcr11","ubiquinol-cytochrome c reductase, complex III subunit XI [Source:MGI Symbol;Acc:MGI:1913844]","GO"
"GO:0016491","ENSMUSG00000020250","Txnrd1","thioredoxin reductase 1 [Source:MGI Symbol;Acc:MGI:1354175]","GO"
"GO:0016491","ENSMUSG00000020256","Aldh1l2","aldehyde dehydrogenase 1 family, member L2 [Source:MGI Symbol;Acc:MGI:2444680]","GO"
"GO:0016491","ENSMUSG00000020295","Hbq1a","hemoglobin, theta 1A [Source:MGI Symbol;Acc:MGI:2685722]","GO"
"GO:0016491","ENSMUSG00000020321","Mdh1","malate dehydrogenase 1, NAD (soluble) [Source:MGI Symbol;Acc:MGI:97051]","GO"
"GO:0016491","ENSMUSG00000020377","Ltc4s","leukotriene C4 synthase [Source:MGI Symbol;Acc:MGI:107498]","GO"
"GO:0016491","ENSMUSG00000020456","Ogdh","oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide) [Source:MGI Symbol;Acc:MGI:1098267]","GO"
"GO:0016491","ENSMUSG00000020571","Pdia6","protein disulfide isomerase associated 6 [Source:MGI Symbol;Acc:MGI:1919103]","GO"
"GO:0016491","ENSMUSG00000020621","Rdh14","retinol dehydrogenase 14 (all-trans and 9-cis) [Source:MGI Symbol;Acc:MGI:1920402]","GO"
"GO:0016491","ENSMUSG00000020629","Adi1","acireductone dioxygenase 1 [Source:MGI Symbol;Acc:MGI:2144929]","GO"
"GO:0016491","ENSMUSG00000020648","Dus4l","dihydrouridine synthase 4-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1919166]","GO"
"GO:0016491","ENSMUSG00000020649","Rrm2","ribonucleotide reductase M2 [Source:MGI Symbol;Acc:MGI:98181]","GO"
"GO:0016491","ENSMUSG00000020664","Dld","dihydrolipoamide dehydrogenase [Source:MGI Symbol;Acc:MGI:107450]","GO"
"GO:0016491","ENSMUSG00000020673","Tpo","thyroid peroxidase [Source:MGI Symbol;Acc:MGI:98813]","GO"
"GO:0016491","ENSMUSG00000020674","Pxdn","peroxidasin [Source:MGI Symbol;Acc:MGI:1916925]","GO"
"GO:0016491","ENSMUSG00000020777","Acox1","acyl-Coenzyme A oxidase 1, palmitoyl [Source:MGI Symbol;Acc:MGI:1330812]","GO"
"GO:0016491","ENSMUSG00000020803","Txndc17","thioredoxin domain containing 17 [Source:MGI Symbol;Acc:MGI:1289248]","GO"
"GO:0016491","ENSMUSG00000020810","Cygb","cytoglobin [Source:MGI Symbol;Acc:MGI:2149481]","GO"
"GO:0016491","ENSMUSG00000020826","Nos2","nitric oxide synthase 2, inducible [Source:MGI Symbol;Acc:MGI:97361]","GO"
"GO:0016491","ENSMUSG00000020834","Dhrs13","dehydrogenase/reductase (SDR family) member 13 [Source:MGI Symbol;Acc:MGI:1917701]","GO"
"GO:0016491","ENSMUSG00000020844","Nxn","nucleoredoxin [Source:MGI Symbol;Acc:MGI:109331]","GO"
"GO:0016491","ENSMUSG00000020849","Ywhae","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide [Source:MGI Symbol;Acc:MGI:894689]","GO"
"GO:0016491","ENSMUSG00000020891","Alox8","arachidonate 8-lipoxygenase [Source:MGI Symbol;Acc:MGI:1098228]","GO"
"GO:0016491","ENSMUSG00000020892","Aloxe3","arachidonate lipoxygenase 3 [Source:MGI Symbol;Acc:MGI:1345140]","GO"
"GO:0016491","ENSMUSG00000020988","L2hgdh","L-2-hydroxyglutarate dehydrogenase [Source:MGI Symbol;Acc:MGI:2384968]","GO"
"GO:0016491","ENSMUSG00000021048","Mthfd1","methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase [Source:MGI Symbol;Acc:MGI:1342005]","GO"
"GO:0016491","ENSMUSG00000021072","Tmx1","thioredoxin-related transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1919986]","GO"
"GO:0016491","ENSMUSG00000021094","Dhrs7","dehydrogenase/reductase (SDR family) member 7 [Source:MGI Symbol;Acc:MGI:1913625]","GO"
"GO:0016491","ENSMUSG00000021102","Glrx5","glutaredoxin 5 [Source:MGI Symbol;Acc:MGI:1920296]","GO"
"GO:0016491","ENSMUSG00000021123","Rdh12","retinol dehydrogenase 12 [Source:MGI Symbol;Acc:MGI:1925224]","GO"
"GO:0016491","ENSMUSG00000021207","Akr1c21","aldo-keto reductase family 1, member C21 [Source:MGI Symbol;Acc:MGI:1924587]","GO"
"GO:0016491","ENSMUSG00000021210","Akr1c6","aldo-keto reductase family 1, member C6 [Source:MGI Symbol;Acc:MGI:1933427]","GO"
"GO:0016491","ENSMUSG00000021211","Akr1c12","aldo-keto reductase family 1, member C12 [Source:MGI Symbol;Acc:MGI:1351661]","GO"
"GO:0016491","ENSMUSG00000021213","Akr1c13","aldo-keto reductase family 1, member C13 [Source:MGI Symbol;Acc:MGI:1351662]","GO"
"GO:0016491","ENSMUSG00000021214","Akr1c18","aldo-keto reductase family 1, member C18 [Source:MGI Symbol;Acc:MGI:2145420]","GO"
"GO:0016491","ENSMUSG00000021235","Coq6","coenzyme Q6 monooxygenase [Source:MGI Symbol;Acc:MGI:1924408]","GO"
"GO:0016491","ENSMUSG00000021238","Aldh6a1","aldehyde dehydrogenase family 6, subfamily A1 [Source:MGI Symbol;Acc:MGI:1915077]","GO"
"GO:0016491","ENSMUSG00000021259","Cyp46a1","cytochrome P450, family 46, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1341877]","GO"
"GO:0016491","ENSMUSG00000021263","Degs2","delta(4)-desaturase, sphingolipid 2 [Source:MGI Symbol;Acc:MGI:1917309]","GO"
"GO:0016491","ENSMUSG00000021496","Pcbd2","pterin 4 alpha carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2 [Source:MGI Symbol;Acc:MGI:1919812]","GO"
"GO:0016491","ENSMUSG00000021577","Sdha","succinate dehydrogenase complex, subunit A, flavoprotein (Fp) [Source:MGI Symbol;Acc:MGI:1914195]","GO"
"GO:0016491","ENSMUSG00000021591","Glrx","glutaredoxin [Source:MGI Symbol;Acc:MGI:2135625]","GO"
"GO:0016491","ENSMUSG00000021594","Srd5a1","steroid 5 alpha-reductase 1 [Source:MGI Symbol;Acc:MGI:98400]","GO"
"GO:0016491","ENSMUSG00000021670","Hmgcr","3-hydroxy-3-methylglutaryl-Coenzyme A reductase [Source:MGI Symbol;Acc:MGI:96159]","GO"
"GO:0016491","ENSMUSG00000021707","Dhfr","dihydrofolate reductase [Source:MGI Symbol;Acc:MGI:94890]","GO"
"GO:0016491","ENSMUSG00000021748","Pdhb","pyruvate dehydrogenase (lipoamide) beta [Source:MGI Symbol;Acc:MGI:1915513]","GO"
"GO:0016491","ENSMUSG00000021751","Acox2","acyl-Coenzyme A oxidase 2, branched chain [Source:MGI Symbol;Acc:MGI:1934852]","GO"
"GO:0016491","ENSMUSG00000021760","Gpx8","glutathione peroxidase 8 (putative) [Source:MGI Symbol;Acc:MGI:1916840]","GO"
"GO:0016491","ENSMUSG00000021764","Ndufs4","NADH:ubiquinone oxidoreductase core subunit S4 [Source:MGI Symbol;Acc:MGI:1343135]","GO"
"GO:0016491","ENSMUSG00000021794","Glud1","glutamate dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:95753]","GO"
"GO:0016491","ENSMUSG00000021831","Ero1l","ERO1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1354385]","GO"
"GO:0016491","ENSMUSG00000021906","Oxnad1","oxidoreductase NAD-binding domain containing 1 [Source:MGI Symbol;Acc:MGI:1916953]","GO"
"GO:0016491","ENSMUSG00000021913","Ogdhl","oxoglutarate dehydrogenase-like [Source:MGI Symbol;Acc:MGI:3616088]","GO"
"GO:0016491","ENSMUSG00000021947","Cryl1","crystallin, lambda 1 [Source:MGI Symbol;Acc:MGI:1915881]","GO"
"GO:0016491","ENSMUSG00000021953","Tdh","L-threonine dehydrogenase [Source:MGI Symbol;Acc:MGI:1926231]","GO"
"GO:0016491","ENSMUSG00000022012","Enox1","ecto-NOX disulfide-thiol exchanger 1 [Source:MGI Symbol;Acc:MGI:2444896]","GO"
"GO:0016491","ENSMUSG00000022096","Hr","lysine demethylase and nuclear receptor corepressor [Source:MGI Symbol;Acc:MGI:96223]","GO"
"GO:0016491","ENSMUSG00000022129","Dct","dopachrome tautomerase [Source:MGI Symbol;Acc:MGI:102563]","GO"
"GO:0016491","ENSMUSG00000022209","Dhrs2","dehydrogenase/reductase member 2 [Source:MGI Symbol;Acc:MGI:1918662]","GO"
"GO:0016491","ENSMUSG00000022210","Dhrs4","dehydrogenase/reductase (SDR family) member 4 [Source:MGI Symbol;Acc:MGI:90169]","GO"
"GO:0016491","ENSMUSG00000022223","Sdr39u1","short chain dehydrogenase/reductase family 39U, member 1 [Source:MGI Symbol;Acc:MGI:1916876]","GO"
"GO:0016491","ENSMUSG00000022292","Rrm2b","ribonucleotide reductase M2 B (TP53 inducible) [Source:MGI Symbol;Acc:MGI:2155865]","GO"
"GO:0016491","ENSMUSG00000022307","Oxr1","oxidation resistance 1 [Source:MGI Symbol;Acc:MGI:2179326]","GO"
"GO:0016491","ENSMUSG00000022351","Sqle","squalene epoxidase [Source:MGI Symbol;Acc:MGI:109296]","GO"
"GO:0016491","ENSMUSG00000022445","Cyp2d26","cytochrome P450, family 2, subfamily d, polypeptide 26 [Source:MGI Symbol;Acc:MGI:1923529]","GO"
"GO:0016491","ENSMUSG00000022536","Glyr1","glyoxylate reductase 1 homolog (Arabidopsis) [Source:MGI Symbol;Acc:MGI:1921272]","GO"
"GO:0016491","ENSMUSG00000022551","Cyc1","cytochrome c-1 [Source:MGI Symbol;Acc:MGI:1913695]","GO"
"GO:0016491","ENSMUSG00000022570","Tsta3","tissue specific transplantation antigen P35B [Source:MGI Symbol;Acc:MGI:98857]","GO"
"GO:0016491","ENSMUSG00000022571","Pycrl","pyrroline-5-carboxylate reductase-like [Source:MGI Symbol;Acc:MGI:1913444]","GO"
"GO:0016491","ENSMUSG00000022589","Cyp11b2","cytochrome P450, family 11, subfamily b, polypeptide 2 [Source:MGI Symbol;Acc:MGI:88584]","GO"
"GO:0016491","ENSMUSG00000022613","Miox","myo-inositol oxygenase [Source:MGI Symbol;Acc:MGI:1891725]","GO"
"GO:0016491","ENSMUSG00000022724","Riox2","ribosomal oxygenase 2 [Source:MGI Symbol;Acc:MGI:1914264]","GO"
"GO:0016491","ENSMUSG00000022742","Cpox","coproporphyrinogen oxidase [Source:MGI Symbol;Acc:MGI:104841]","GO"
"GO:0016491","ENSMUSG00000022763","Aifm3","apoptosis-inducing factor, mitochondrion-associated 3 [Source:MGI Symbol;Acc:MGI:1919418]","GO"
